"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
954,은평뉴타운구파발9단지,은평구,10,37.6426,126.921
900,은평예술회관,은평구,20,37.6039,126.928
933,LG서비스 역촌점,은평구,10,37.6125,126.915
930,구 서부경찰서 건너편,은평구,7,37.6017,126.92
926,불광역 8번출구,은평구,8,37.6112,126.93
922,연신내역 4번출구,은평구,10,37.6178,126.922
968,은평뉴타운 상림마을 13단지,은평구,7,37.6421,126.929
951,연신내역 6번출구옆,은평구,15,37.6193,126.921
919,서울혁신파크,은평구,10,37.607,126.933
965,서울특별시 은평병원,은평구,10,37.5935,126.923
915,증산역 4번출구,은평구,10,37.5844,126.91
962,은평뉴타운 힐데스하임,은평구,10,37.6393,126.919
948,디지털미디어 시티역 4번출구,은평구,10,37.5772,126.902
959,구파발10단지 인근,은평구,10,37.6437,126.915
945,기자촌 사거리,은평구,10,37.6341,126.932
907,CJ 드림시티,은평구,10,37.5995,126.917
942,상림마을 생태공원,은평구,15,37.6441,126.929
904,은평뉴타운 푸르지오,은평구,18,37.6487,126.931
938,금암 문화공원,은평구,15,37.6447,126.918
934,신사동 성당,은평구,15,37.5971,126.91
932,예일여중,은평구,10,37.61,126.916
928,은평역사한옥박물관,은평구,15,37.6413,126.938
925,불광역 2번출구,은평구,8,37.6096,126.931
953,서울연신초등학교,은평구,10,37.6258,126.929
967,서울혁신파크2,은평구,13,37.6089,126.932
395,경희궁 자이 2단지,종로구,8,37.5689,126.965
362,청계8가 사거리,종로구,10,37.5722,127.023
328,탑골공원 앞,종로구,11,37.5704,126.988
358,성대입구 사거리,종로구,13,37.5825,126.999
339,종로4가 사거리,종로구,10,37.5711,126.998
349,사직동주민센터,종로구,7,37.5763,126.969
450,효자동 삼거리,종로구,20,37.5836,126.973
345,서울보증보험본사 앞,종로구,15,37.5733,127.001
306,광화문역 7번출구 앞,종로구,9,37.5708,126.976
454,종로2가 버스정류장 (종각방향),종로구,13,37.5704,126.986
449,일성아파트,종로구,10,37.6087,126.973
337,창경궁 입구,종로구,5,37.579,126.996
386,올림픽기념 국민생활관 앞,종로구,10,37.5902,126.999
344,성균관대 E하우스 앞,종로구,10,37.574,127.007
446,상명대입구,종로구,10,37.6001,126.958
369,광화문 시민열린마당,종로구,20,37.5755,126.979
340,혜화동 로터리,종로구,8,37.5856,127.001
315,신한은행 안국역지점 옆,종로구,9,37.576,126.983
364,창신역 1번출구 앞,종로구,8,37.5793,127.015
394,경희궁 자이 3단지,종로구,15,37.5675,126.966
361,동묘앞역 1번출구 뒤,종로구,10,37.5732,127.016
