l_office_no,avg_dist,count,cluster
1362,3455,227,a
1363,3700,255,d
1364,3017,135,a
1365,2052,80,a
1366,5980,51,g
1367,4873,73,g
1368,4038,163,d
1369,3395,200,a
137,3006,9104,c
1370,3100,143,a
1372,4470,843,d
1373,6040,215,g
138,2852,13737,c
139,3282,9986,c
140,3104,11237,c
1401,4931,9812,i
1402,3685,5798,e
1403,4117,17270,f
1404,3661,7129,e
1405,3622,13659,f
1406,4149,1504,d
1407,3594,5440,e
1408,4776,7097,h
141,3441,13572,c
1410,4777,3082,g
1411,3520,3690,e
1412,4326,4329,e
1413,4818,5596,h
1414,4521,7707,h
1416,3198,6155,b
1418,4101,2970,d
142,3305,12985,c
1420,3781,3953,e
1421,2790,1880,a
1422,3872,1714,d
1424,4026,1007,d
1425,3707,4703,e
1426,4223,3084,d
1427,3438,2920,a
1428,2965,6275,b
1429,4513,4511,h
143,3887,15714,f
1430,3478,7023,b
1431,3491,8248,c
1433,3961,9037,f
1434,5133,5363,h
1435,4229,1592,d
1436,3460,3469,a
1437,4590,3854,h
1438,3947,9349,f
144,4134,33907,f
1440,4239,5697,e
1441,3734,5379,e
1442,3539,3854,e
1443,3687,2066,d
1444,5567,2430,g
1445,5811,646,g
1446,3741,4987,e
1447,3767,5617,e
1448,3627,8363,f
1449,3251,6534,b
145,3347,15528,c
1450,5503,2412,g
1451,6125,5417,h
1452,5779,2689,g
1453,5142,814,g
1454,3927,2883,d
1455,3469,4114,b
1456,3152,2360,a
1457,3525,1718,d
1458,2741,222,a
1459,4085,99,d
146,5737,26213,i
147,5778,21729,i
148,4863,16278,i
150,3462,20053,c
1501,4083,6931,e
1503,3922,16002,f
1504,4253,3977,e
1506,3592,6111,e
1509,4123,3798,e
151,4008,18898,f
1510,3339,1706,a
1511,4630,1738,g
1512,5516,6427,h
1513,3392,1592,a
1514,4839,7749,h
1515,4086,4401,e
1516,4232,2672,d
1518,3206,3777,b
1519,4068,3981,e
152,5631,49735,i
1520,3838,4914,e
1522,4956,3026,g
1525,3632,3874,e
1526,3184,2295,a
1527,3432,2709,a
1528,4053,2199,d
1529,3518,4979,e
153,3442,27384,c
1530,3823,4788,e
1531,4123,8732,f
1532,6328,2101,g
1533,5370,4270,h
1534,5034,3437,g
1535,3800,7674,e
1536,4504,3093,g
1537,5855,1479,g
1538,4102,1716,d
1539,4638,3480,g
154,3543,25536,f
1540,3253,2569,a
1541,3027,1221,a
1542,3762,1373,d
1543,4068,1959,d
1545,4633,531,g
1546,4959,146,g
155,3756,17020,f
156,3443,14696,c
157,3573,18060,f
158,3129,11901,c
159,2978,12661,c
160,4026,10061,f
1601,4790,17738,i
1602,4558,6376,h
1603,5939,8565,i
1605,4670,5693,h
1606,4431,13727,f
1608,3699,16645,f
161,5167,5823,h
1610,4814,17160,i
1611,3998,19297,f
1616,3763,15546,f
1617,4782,4847,h
1619,3625,9670,f
162,2535,15691,c
1620,3373,6069,b
1623,3841,14642,f
1625,4287,15242,f
1627,4883,3512,h
1628,5516,3192,g
163,4817,8369,i
1630,4502,2616,g
1634,4183,4767,e
1635,4489,2011,d
1636,3828,15504,f
1637,4179,22178,f
1639,5324,2789,g
164,3609,8258,f
1640,6152,4301,h
1641,5710,2948,g
1642,3582,6354,e
1643,5691,7085,h
1646,4742,1925,g
165,3304,13741,c
1650,4518,6371,h
1651,5258,3014,g
1652,5923,653,g
1653,3409,5568,b
1654,3635,1810,d
1655,4211,7277,e
1656,3574,5985,e
1657,5345,3871,h
1659,4695,3120,g
166,4090,20339,f
1660,3223,1910,a
1661,4238,3153,d
1662,4739,4642,h
1663,4766,9111,i
1664,3736,886,d
1665,3565,2619,d
1666,4484,3746,e
1667,3309,2854,a
1668,4190,6781,e
1669,4095,4692,e
167,4071,7648,e
1670,3398,3495,a
1671,5043,2892,g
1672,4707,2284,g
1673,3387,7714,b
1674,4837,4958,h
1675,3901,707,d
1677,4146,2302,d
1678,3487,1357,a
1679,5148,1972,g
168,3714,6123,e
1680,5143,565,g
1681,3424,4831,b
1682,3362,3336,a
1683,2469,211,a
1684,3990,318,d
1685,2907,183,a
1686,2735,228,a
1687,750,1,a
1688,3699,143,d
1689,3578,127,d
169,3641,6852,e
1690,2473,117,a
1691,3200,189,a
170,4537,14544,i
1702,4909,5684,h
1703,8060,3205,g
1705,5365,7196,h
1706,4108,5793,e
1707,4452,6466,e
1708,4262,5764,e
1709,4389,11661,f
171,2620,7121,b
1712,4844,9594,i
1713,4201,4865,e
1714,3542,1703,d
1715,4998,3307,g
1716,5336,2457,g
1717,4479,909,d
1719,4427,1854,d
172,3669,10404,f
1720,7792,4719,h
1721,3167,6589,b
1722,4283,1868,d
1723,5535,2245,g
1725,3140,1098,a
1726,4691,3844,h
1727,6802,838,g
1728,5532,680,g
1729,3360,89,a
173,3228,14587,c
1730,5645,26,g
1732,7033,73,g
1733,3421,172,a
1734,4684,151,g
1735,2818,53,a
1736,2017,62,a
1737,4297,138,d
174,4921,2443,g
1741,3408,165,a
175,5353,25621,i
176,5224,16140,i
177,3772,5468,e
178,3440,8709,c
179,3050,19095,c
180,3216,11781,c
1802,3516,2037,d
1804,5039,4848,h
1805,5027,3308,g
1806,4464,2280,d
1808,2906,5198,b
1809,4212,3588,e
181,7568,3654,h
1812,4024,3397,d
1814,3151,5600,b
1816,6314,1588,g
1819,4548,2984,g
182,5958,19178,i
1820,7329,1492,g
1821,5427,1909,g
1822,6015,3143,g
1823,3986,2622,d
1824,6896,6354,h
1825,7571,1847,g
1826,5205,2609,g
1827,8894,8494,i
1828,4189,3310,d
1829,3302,4598,b
183,3059,37743,c
1830,3854,5796,e
1831,3868,3112,d
1833,2851,4688,b
1834,6590,8382,i
1835,5694,4442,h
1836,4289,1075,d
1839,4037,2977,d
184,3250,19585,c
1840,5081,1544,g
1841,2996,2469,a
1842,4052,1103,d
1843,3816,1983,d
1845,3885,1811,d
1846,3162,1205,a
1847,7400,774,g
1848,3539,1750,d
1849,4917,848,g
185,4563,17163,i
1850,3715,1994,d
1851,4695,5149,h
1853,3585,62,d
1854,5118,159,g
1855,3914,44,d
1856,5243,259,g
1857,3816,128,d
1858,8708,64,g
186,5410,24407,i
188,6558,11107,i
1901,4111,7758,e
1904,4911,11834,i
1906,5299,37681,i
1907,3648,4897,e
1908,5052,13809,i
191,3462,8612,c
1910,4130,1507,d
1911,5147,24709,i
1912,5301,7546,h
1913,4557,4259,h
1914,4521,8802,i
1916,5012,2896,g
192,3870,9327,f
1920,4608,7494,h
1924,3044,3680,b
1925,5592,15650,i
1928,4909,9808,i
1929,4244,5224,e
1930,3776,3162,d
1931,4464,6260,e
1933,4370,6070,e
1936,6303,2819,g
1937,6366,3927,h
194,4344,20776,f
1940,4910,2536,g
1941,4595,2974,g
1943,6084,1691,g
1946,3942,8233,f
195,3086,10598,c
1951,3884,3124,d
1952,5234,3791,h
1953,4031,4273,e
1955,4483,10203,f
1956,4182,3216,d
1957,4443,3996,e
1958,4834,3415,g
1959,3664,2157,d
196,3094,7967,b
1960,4923,5472,h
1961,4723,10439,i
1962,3840,4350,e
1963,4423,1327,d
1964,4151,2844,d
1965,4949,2785,g
1966,5036,3084,g
1967,2828,1080,a
1968,5261,1485,g
1969,5423,581,g
1971,7746,720,g
1973,3888,988,d
1974,4332,3476,d
1975,5778,4778,h
1976,4206,1863,d
1977,3208,2149,a
1979,4256,1036,d
198,3686,10098,f
1981,3465,2141,a
1983,4312,4076,e
1984,4403,2720,d
1985,4309,9807,f
1986,3945,996,d
1987,5810,64,g
1988,7015,89,g
199,4525,13966,i
1991,4287,76,d
1993,1614,39,a
1994,5268,414,g
200,4578,8988,i
2002,7497,23543,i
2003,6663,12725,i
2007,4134,13153,f
2008,4119,4755,e
2009,3866,7091,e
201,4929,18483,i
2012,4431,6877,e
2013,3493,20055,c
2015,3887,12452,f
2016,4244,9076,f
202,4795,29345,i
2020,4046,5518,e
2024,5897,9032,i
2025,8317,17133,i
2026,6642,4833,h
2027,6749,6421,h
2028,4154,6370,e
203,3764,18608,f
2032,3811,8412,f
2033,3783,4394,e
2034,4832,6805,h
2036,5347,2607,g
2037,8900,4452,h
2038,5182,1644,g
204,4333,13969,f
2040,6564,1992,g
2041,3607,2898,d
2048,2719,5955,b
205,5131,19087,i
2050,4111,23349,f
2054,5471,7090,h
2056,4490,10886,f
2057,4005,3941,e
2058,5160,9262,i
2059,4875,5139,h
206,4559,21355,i
2060,3894,1546,d
2061,6488,333,g
2062,4094,1488,d
2063,3572,5625,e
2064,6203,1093,g
2065,3698,4209,e
2066,4019,541,d
2067,3077,330,a
2068,5119,219,g
2069,5480,281,g
207,5834,93847,i
2070,8397,276,g
209,4030,18448,f
210,4425,37076,f
2102,5324,43120,i
2103,4321,11281,f
2104,4984,5302,h
2105,3853,4224,e
2106,4422,7363,e
2107,6390,22109,i
2108,4565,10462,i
2109,4065,9232,f
211,3492,33943,c
2110,3912,4722,e
2111,3402,6376,b
2112,4121,6345,e
2113,6142,9704,i
2114,4869,1373,g
2115,3792,6346,e
2116,4460,7256,e
2119,4232,6761,e
212,3860,30327,f
2122,3795,9976,f
2127,4312,2483,d
2128,3700,3950,e
2129,3169,6169,b
213,3135,23467,c
2130,3797,4422,e
2135,3922,10520,f
2136,3419,9905,c
2137,3589,4305,e
2139,5862,16939,i
214,3860,15552,f
2140,5101,10772,i
2141,6398,18029,i
2143,5376,4770,h
2144,4509,3314,g
2145,5075,5928,h
2148,3647,5828,e
215,5855,12230,i
2153,4645,4090,h
2156,3463,4344,b
2157,3379,7764,b
2159,3399,2103,a
216,3682,19586,f
2160,3707,2078,d
2164,4190,3519,e
2165,4558,1619,g
2167,4882,2298,g
2169,3680,3591,e
217,3238,19152,c
2170,4810,2141,g
2171,4772,5097,h
2172,5080,3141,g
2173,4563,11891,i
2174,4482,2731,d
2175,4638,2919,g
2176,5511,7288,h
2177,3560,1912,d
2178,4058,556,d
2179,3170,147,a
218,3653,10824,f
2180,4942,210,g
2184,2701,20,a
219,3358,13779,c
220,3762,15325,f
2201,4447,1363,d
2202,2602,11126,c
2203,3806,1589,d
2205,2914,6666,b
2206,3160,8944,c
2207,3332,1176,a
221,4057,21098,f
2210,5254,2891,g
2211,3856,5495,e
2212,4320,3855,e
2213,6263,8594,i
2214,6303,9016,i
2215,5969,5333,h
2217,6893,7503,h
2219,7026,38854,i
222,3316,32845,c
2220,5829,13278,i
2221,5408,6359,h
2222,4190,10423,f
2223,4133,2641,d
2224,4021,3346,d
2225,3503,2031,d
2226,3833,2201,d
2227,4852,7185,h
2228,3544,9759,f
2229,4433,2394,d
223,2631,19118,c
2230,4193,12936,f
2231,4817,15738,i
2233,4166,3778,e
2235,3952,4266,e
2237,4710,7878,h
2239,4678,6249,h
224,2798,22563,c
2241,4569,5434,h
2242,4004,12488,f
2243,4242,7511,e
2244,4358,10888,f
2245,4729,3700,h
2246,4817,4062,h
2247,5236,8298,i
2248,4105,4691,e
2249,5047,2359,g
225,3051,14801,c
2250,6223,4091,h
2251,4063,4245,e
2252,3295,9882,c
2255,4169,16281,f
2256,5239,3275,g
2257,3830,1010,d
2258,5252,2748,g
2259,5063,8112,h
226,4020,19191,f
2262,7561,17194,i
2263,3452,7327,b
2264,4265,9152,f
2265,4831,10223,i
2266,5027,3496,g
2268,5057,3911,h
2269,6544,2036,g
227,6749,12533,i
2270,5238,932,g
2271,5610,1499,g
2272,4596,1609,g
2273,4442,4206,e
2274,4074,5546,e
2275,4309,318,d
2276,5029,3880,h
2277,6430,3848,h
2279,4554,4281,h
228,4554,24182,i
2280,3894,98,d
2281,4366,1968,d
2282,4171,1190,d
2283,3708,1391,d
2284,2918,1438,a
2285,5028,2208,g
2286,4999,192,g
2287,5276,185,g
2288,3040,236,a
2289,3481,965,a
229,5252,14712,i
2290,4143,2857,d
2292,4996,2464,g
2293,4474,2583,d
2294,5142,2769,g
2297,4368,1922,d
2298,5206,2742,g
2299,3180,277,a
230,2622,31153,c
2301,7740,17436,i
2302,5504,12887,i
2303,5345,6956,h
2304,5010,3871,h
2305,4557,3876,h
2306,5220,12593,i
2307,7210,8482,i
2308,5992,8075,h
2309,5385,5258,h
231,2630,8362,c
2310,5898,4369,h
2311,4664,2889,g
2312,5171,3669,h
2313,5934,7417,h
2314,7597,5200,h
2315,4885,9590,i
2316,5150,9101,i
2317,6911,6055,h
2318,5497,5797,h
2319,4354,5541,e
232,3874,25702,f
2320,5307,7135,h
2321,5384,6851,h
2322,4795,5392,h
2323,4948,2812,g
2324,5180,6821,h
2325,4255,7819,e
2326,3980,3651,e
2327,4299,11406,f
2328,4640,5057,h
2329,4254,3990,e
233,3622,3393,d
2330,4028,4949,e
2331,3785,4865,e
2332,4552,7892,h
2333,3487,5884,b
2334,3627,2630,d
2335,4539,8449,i
2336,4226,3305,d
2337,6150,6505,h
2339,5240,4539,h
234,3652,5677,e
2340,5437,10965,i
2341,6158,3477,g
2342,6163,7981,h
2343,6214,871,g
2344,5870,2860,g
2347,4824,3053,g
2348,4507,8929,i
2349,4303,5038,e
235,3368,6610,b
2350,3376,2702,a
2351,5282,1719,g
2352,4065,2722,d
2353,3977,5207,e
2354,5527,2220,g
2355,4538,10598,i
2356,5633,3842,h
2357,4255,2864,d
2358,4622,4138,h
2359,4708,3267,g
236,3635,11891,f
2360,3753,4733,e
2361,6088,3817,h
2362,6251,5219,h
2363,5303,1903,g
2364,4735,2474,g
2365,5835,3993,h
2368,4147,1835,d
2369,5624,4736,h
237,4292,10128,f
2370,3837,4488,e
2371,4493,1689,d
2372,5214,4454,h
2373,6117,4238,h
2375,5610,1838,g
2376,5689,1160,g
2377,5402,6333,h
238,2799,21586,c
2380,5004,3214,g
2381,5153,1522,g
2382,3773,900,d
2383,5817,643,g
2384,3762,4454,e
2385,4053,3271,d
2386,5179,900,g
2387,4354,2978,d
2388,4719,1005,g
2389,3586,60,d
239,3499,16431,c
2390,8836,6,g
2391,6569,37,g
2392,2873,78,a
2393,2944,32,a
2394,3112,10,a
2395,6075,49,g
2396,5841,249,g
2398,3118,209,a
240,2892,16317,c
2401,5174,226,g
2403,5553,94,g
2404,4277,192,d
2405,3347,590,a
2406,3660,97,d
2407,5860,1156,g
2408,5109,268,g
241,4407,9508,f
242,3541,9120,f
243,3380,14184,c
244,3752,24526,f
245,3444,18449,c
247,4145,40235,f
248,6010,18923,i
249,6877,13570,i
250,3673,7872,e
2501,4314,553,d
2502,4049,135,d
2503,7386,125,g
2504,3668,62,d
2505,3720,324,d
2506,4026,201,d
2508,4039,444,d
2509,4082,387,d
251,3325,8857,c
252,3891,12965,f
253,2936,10501,c
254,3274,3301,a
255,3496,7251,b
256,4165,7955,e
257,3741,18659,f
258,3520,18000,f
259,3555,36687,f
260,6284,7806,h
2601,3301,1768,a
2603,2880,512,a
2604,3874,624,d
2605,4586,390,g
2606,3776,295,d
2607,5428,51,g
2608,3058,142,a
2616,2350,3,a
2617,6647,14,g
262,3241,17354,c
263,3404,16916,c
264,2963,10079,c
265,3201,8577,c
266,3416,18276,c
267,4737,13429,i
268,3777,13680,f
270,3446,7563,b
271,4934,7564,h
272,7230,29639,i
274,4713,11022,i
275,4330,6467,e
276,4082,6232,e
277,4628,5392,h
278,5072,5249,h
279,4128,5336,e
280,3098,552,a
281,6027,128,g
282,4946,88,g
283,3323,881,a
284,2966,2000,a
285,3517,466,d
286,7165,251,g
287,4342,1178,d
289,2910,28,a
291,4169,56,d
292,2669,17,a
3,5072,595,g
300,2426,20779,c
301,2858,21165,c
302,2790,29543,c
303,2503,24137,c
304,2792,16671,c
305,2894,19671,c
306,2810,16491,c
307,2595,18303,c
308,2511,12122,c
309,2965,16588,c
310,2954,14802,c
3100,3899,2233,d
3101,5085,4303,h
3102,3819,7409,e
3103,4970,454,g
3104,4545,314,g
3105,4032,120,d
3106,7706,3,g
3107,4403,273,d
311,2794,34304,c
312,2689,24467,c
313,3090,8879,c
314,2626,22145,c
315,2536,14214,c
316,2644,28047,c
318,3223,10064,c
320,3230,21769,c
321,3426,16975,c
322,3586,11822,f
324,3635,15107,f
326,2721,21113,c
327,2458,20786,c
328,2845,23249,c
329,3209,21533,c
330,2883,10328,c
331,3044,14468,c
332,2985,11408,c
334,2729,26842,c
335,2956,16408,c
336,3108,14700,c
337,2563,7461,b
338,2377,22504,c
339,2518,24070,c
340,3139,22533,c
341,2728,18969,c
342,2892,28349,c
343,2468,9245,c
344,2179,18753,c
345,2414,15324,c
346,3308,25732,c
347,3586,20654,f
348,3115,10988,c
349,2602,13540,c
350,2244,2229,a
3500,4275,6141,e
3501,3242,10980,c
3502,4381,3245,d
3503,5064,2314,g
3504,3528,8017,e
3505,4875,5773,h
3506,3468,5178,b
3507,3513,5580,e
3508,4115,12518,f
3509,2841,15567,c
351,3055,14593,c
3510,4266,1807,d
3511,7572,9628,i
3513,3015,9127,c
3514,3509,7545,e
3515,5392,7741,h
3516,3317,3523,b
3517,4330,4139,e
3518,3718,10826,f
3519,5354,6911,h
352,2684,6428,b
3520,3344,7852,b
3521,4491,1223,d
3522,5365,7281,h
3523,2320,5025,b
3524,3222,2566,a
3525,4793,79,g
3527,3526,49,d
3528,4112,164,d
3529,2930,217,a
353,2868,11636,c
3530,5635,113,g
3531,3242,82,a
3532,3554,48,d
3533,3521,992,d
3534,3562,657,d
3535,3330,235,a
3536,2894,252,a
3537,2583,154,a
3538,3934,75,d
354,2661,15807,c
355,2246,17298,c
