l_office_no,avg_dist,count,cluster
640,3150,7185,b
641,3999,18502,f
642,3247,9303,c
643,5459,9855,i
646,3307,7936,b
647,5235,2173,g
648,3215,6119,b
650,6147,7866,h
651,4109,3788,e
652,3606,23,d
654,3501,118,d
656,5106,143,g
657,4141,350,d
658,3646,199,d
659,2815,331,a
660,4040,324,d
661,5145,1200,g
700,6045,17085,i
701,4358,5208,e
702,4684,6020,h
703,4908,36120,i
704,4075,16087,f
706,3979,8191,e
707,4140,4477,e
708,4090,13554,f
709,3629,2781,d
710,3850,4323,e
711,3568,3555,e
712,4277,3847,e
713,4002,3581,e
714,3858,3678,e
716,4306,16347,f
719,3842,9121,f
720,4126,3805,e
722,4003,5175,e
723,4214,9304,f
724,4902,1159,g
725,3866,2321,d
726,4297,3884,e
729,5492,4700,h
731,4724,7212,h
732,3820,2155,d
733,4565,2610,g
734,4139,3310,d
735,4418,2998,d
736,3908,2318,d
737,4910,1959,g
739,3346,2110,a
740,3620,1709,d
741,5411,519,g
742,4208,2873,d
743,3804,1632,d
744,6118,5751,h
745,4113,1768,d
746,4285,5457,e
747,3585,4250,e
748,5048,977,g
749,6770,1177,g
750,4005,1195,d
752,3855,2432,d
754,4174,517,d
755,4381,606,d
756,4012,674,d
757,3995,191,d
758,4883,200,g
759,3788,132,d
760,2630,147,a
762,3935,2,d
763,2713,41,a
764,5715,54,g
800,4944,12539,i
802,5482,6825,h
803,7152,4099,h
805,3541,11208,f
806,4821,11302,i
807,3808,10173,f
808,6839,3522,h
809,8050,13799,i
810,5229,6716,h
811,4417,15232,f
812,4284,6430,e
813,4476,10210,f
815,6809,12374,i
816,4931,32483,i
817,4545,6895,h
818,3531,16198,f
819,4025,12131,f
820,3429,10043,c
822,6746,7558,h
823,4400,4555,e
825,7930,23970,i
826,3677,10482,f
827,2682,1768,a
828,3797,4664,e
829,7699,8142,h
830,5640,2705,g
831,5742,4420,h
832,7099,6891,h
834,4040,5872,e
835,3703,2928,d
836,8209,3766,h
837,8891,6214,h
838,4265,2566,d
840,3833,167,d
841,4498,359,d
844,5029,84,g
845,3416,631,a
900,3275,9942,c
901,3460,11569,c
902,3870,3610,e
903,2652,5639,b
904,3270,7571,b
905,3073,17311,c
906,3727,22169,f
907,5387,40091,i
908,3831,8604,f
909,3638,6303,e
911,3316,14319,c
912,4223,15805,f
913,3594,26246,f
914,6073,25478,i
915,4753,12332,i
916,3230,9568,c
917,2728,11633,c
919,3780,5423,e
921,4257,5434,e
922,3810,6581,e
923,3882,6194,e
924,3721,3182,d
925,3695,6144,e
926,3460,15392,c
927,3472,6292,b
928,4106,2332,d
930,3786,5334,e
931,4127,18726,f
932,4154,9324,f
933,4103,11228,f
934,4852,3275,g
935,4666,3648,h
937,5139,393,g
938,6448,456,g
939,3651,2675,d
941,3258,2638,a
942,2591,2182,a
943,3016,5154,b
945,3571,2218,d
946,3928,1833,d
947,4679,1883,g
948,3671,2175,d
949,4248,1435,d
950,3740,4499,e
951,3874,3199,d
952,3570,1094,d
953,3339,2087,a
954,3505,2139,d
956,5082,3918,h
958,3392,298,a
959,3793,91,d
960,1646,68,a
961,2476,264,a
962,2251,207,a
963,2499,220,a
964,2804,200,a
965,3021,134,a
966,3453,465,a
967,4345,420,d
968,1682,41,a
9999,3138,1231,a
